,title,eps_count,publish_date,status,season,studio,rate,eps_period,type,classification
388,Gintama', 51,2023-10, compleated,Spring,Sunrise,9.04,24.0,series,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
389,Koi to Yobu ni wa Kimochi Warui, 12,2023-09, compleated,Spring,Nomad,7.14,23.0,series,"['Comedy', 'Romance', 'School']"
390,Rurouni Kenshin: Meiji Kenkaku Romantan (2023), 24,2023-12, compleated,Summer,LIDENFILMS,7.75,22.0,series,"['Action', 'Historical', 'Samurai', 'Shounen']"
391,Shiguang Dailiren: Yingdu Pian,null,, compleated,unknown,CMC Media,8.71,,series,"['Adult Cast', 'Drama', 'Super Power', 'Time Travel']"
392,Tsuki ga Kirei, 12,2023-09, compleated,Spring,feel.,8.06,24.0,series,"['Romance', 'School']"
393,Orient, 12,2023-09, compleated,Winter,A.C.G.T.,6.60,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Samurai', 'Shounen']"
395,100-man no Inochi no Ue ni Ore wa Tatteiru, 12,2023-09, compleated,Fall,Maho Film,6.51,23.0,series,"['Action', 'Drama', 'Fantasy', 'Isekai', 'Shounen', 'Survival']"
396,One Piece Movie 14: Stampede,null,2024-08, compleated,unknown,Toei Animation,8.20,,movie,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
397,Zombieland Saga Revenge, 12,2023-09, compleated,Spring,MAPPA,8.01,23.0,series,"['Comedy', 'Idols (Female)', 'Music', 'Parody', 'Supernatural']"
398,Xian Wang de Richang Shenghuo 2,null,, compleated,unknown,Pb Animation Co. Ltd.,7.39,19.0,series,"['Adventure', 'Comedy', 'Fantasy', 'Mythology', 'School']"
400,Mahouka Koukou no Rettousei, 26,2023-10, compleated,Spring,Madhouse,7.40,23.0,series,"['Action', 'Fantasy', 'Romance', 'School', 'Sci-Fi']"
401,Re-Main, 12,2023-09, compleated,Summer,MAPPA,7.21,23.0,series,"['School', 'Sports', 'Team Sports']"
402,Kageki Shoujo!!, 13,2023-10, compleated,Summer,PINE JAM,7.75,24.0,series,"['Drama', 'Performing Arts', 'School', 'Shoujo']"
