,title,eps_count,publish_date,status,season,studio,rate,eps_period,type,classification
759,Durarara!!x2 Ten, 12,2023-10, compleated,Summer,Shuka,7.97,24.0,series,"['Action', 'Mystery', 'Supernatural']"
761,Blade & Soul, 13,2023-10, compleated,Spring,Gonzo,6.04,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Martial Arts']"
762,Dr. Stone: Stone Wars, 11,2023-09, compleated,Winter,TMS Entertainment,8.17,24.0,series,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Survival', 'Time Travel']"
763,"Kanojo, Okarishimasu 2nd Season", 12,2023-09, compleated,Summer,TMS Entertainment,6.85,24.0,series,"['Adult Cast', 'Comedy', 'Harem', 'Romance', 'Shounen']"
764,Kuroko no Basket, 25,2023-10, compleated,Spring,Production I.G,8.06,24.0,series,"['School', 'Shounen', 'Sports', 'Team Sports']"
765,One Punch Man 2nd Season, 12,2023-09, compleated,Spring,J.C.Staff,7.51,23.0,series,"['Action', 'Adult Cast', 'Comedy', 'Parody', 'Seinen', 'Super Power']"
766,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II", 12,2023-12, compleated,Winter,SILVER LINK.,6.91,23.0,series,"['Action', 'Fantasy', 'Mythology', 'Reincarnation', 'School']"
768,Prison School, 12,2023-09, compleated,Summer,J.C.Staff,7.61,24.0,series,"['Comedy', 'Ecchi', 'Gag Humor', 'School', 'Seinen']"
770,Helck, 24,2023-10, ongoing,Summer,Satelight,7.19,22.0,series,"['Action', 'Fantasy']"
771,Visual Prison, 12,2023-12, compleated,Fall,A-1 Pictures,6.71,24.0,series,"['Music', 'Supernatural', 'Vampire']"
772,Shadows House, 13,2023-10, compleated,Spring,CloverWorks,7.79,23.0,series,"['Fantasy', 'Mystery', 'Seinen']"
774,Cardfight!! Vanguard: overDress Season 2, 13,2023-10, compleated,Fall,GIFTanimation,6.70,24.0,series,"['Action', 'Drama', 'Strategy Game']"
776,Radiant, 21,2023-10, compleated,Fall,Lerche,6.88,24.0,series,"['Action', 'Adventure', 'Fantasy']"
777,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2", 12,2023-09, compleated,Winter,A-1 Pictures,7.72,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Isekai', 'Military']"
779,Bungou Stray Dogs, 12,2023-09, compleated,Spring,Bones,7.82,23.0,series,"['Action', 'Adult Cast', 'Mystery', 'Organized Crime', 'Seinen', 'Super Power', 'Supernatural']"
780,Nejimaki Seirei Senki: Tenkyou no Alderamin, 13,2023-10, compleated,Summer,Madhouse,7.65,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Military']"
781,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season, 12,2023-09, compleated,Summer,Maho Film,6.80,23.0,series,"['Action', 'Drama', 'Fantasy', 'Isekai', 'Shounen', 'Survival']"
783,Bokutachi wa Benkyou ga Dekinai!, 13,2023-10, compleated,Fall,Arvo Animation,7.34,23.0,series,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']"
784,Skip to Loafer, 12,2023-09, compleated,Spring,P.A. Works,8.14,23.0,series,"['Drama', 'School', 'Seinen']"
785,Iwa Kakeru! Sport Climbing Girls, 12,2023-09, compleated,Fall,Blade,6.48,23.0,series,"['School', 'Sports']"
788,Mars Red, 13,2023-10, compleated,Spring,Signal.MD,6.59,23.0,series,"['Action', 'Adult Cast', 'Historical', 'Military', 'Supernatural', 'Vampire']"
789,Fullmetal Alchemist: Brotherhood, 64,2023-10, compleated,Spring,Bones,9.10,24.0,series,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military', 'Shounen']"
790,Yamada-kun to Lv999 no Koi wo Suru, 13,2023-09, compleated,Spring,Madhouse,7.85,23.0,series,"['Romance', 'Video Game']"
791,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru, 12,2023-09, compleated,Fall,White Fox,7.49,23.0,series,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']"
792,Trigun Stampede, 12,2023-09, compleated,Winter,Orange,7.84,23.0,series,"['Action', 'Adult Cast', 'Adventure', 'Sci-Fi', 'Shounen']"
794,Edens Zero, 25,2023-10, compleated,Spring,J.C.Staff,7.30,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Shounen', 'Space']"
796,Date A Live IV, 12,2023-09, compleated,Spring,Geek Toys,7.78,23.0,series,"['Action', 'Harem', 'Mecha', 'Romance', 'School', 'Sci-Fi']"
797,I★Chu: Halfway Through the Idol, 12,2023-09, compleated,Winter,Lay-duce,6.57,24.0,series,"['Comedy', 'Idols (Male)', 'Music', 'School']"
798,Koi to Producer: EVOL×LOVE, 12,2023-09, compleated,Summer,MAPPA,6.18,24.0,series,"['Mystery', 'Reverse Harem', 'Romance', 'Sci-Fi', 'Super Power']"
799,Isekai Shokudou, 12,2023-09, compleated,Summer,SILVER LINK.,7.39,23.0,series,"['Fantasy', 'Gourmet', 'Isekai', 'Slice of Life', 'Workplace']"
801,Darling in the FranXX, 24,2023-10, compleated,Winter,A-1 Pictures,7.20,24.0,series,"['Action', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']"
802,Majutsushi Orphen Hagure Tabi: Seiiki-hen, 12,2023-09, compleated,Spring,Studio Deen,6.04,23.0,series,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Martial Arts']"
803,Barakamon, 12,2023-09, compleated,Summer,Kinema Citrus,8.38,22.0,series,"['Childcare', 'Iyashikei', 'Slice of Life', 'Visual Arts']"
804,Majo no Tabitabi, 12,2023-09, compleated,Fall,C2C,7.55,24.0,series,"['Adventure', 'Fantasy']"
805,Undead Girl Murder Farce, 13,2023-09, compleated,Summer,Lapin Track,7.89,22.0,series,"['Detective', 'Fantasy', 'Historical', 'Mystery', 'Vampire']"
806,One Room: Third Season, 12,2023-09, compleated,Fall,Zero-G,6.44,4.0,series,['Slice of Life']
807,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku, 13,2023-10, compleated,Spring,feel.,8.21,24.0,series,"['Comedy', 'Love Polygon', 'Romance', 'School']"
809,Ganbare Douki-chan,null,2023-09, compleated,unknown,AtelierPontdarc,6.53,5.0,series,"['Adult Cast', 'Comedy', 'Ecchi', 'Romantic Subtext', 'Workplace']"
810,Yami Shibai 9, 13,2023-10, compleated,Summer,ILCA,5.90,4.0,series,"['Avant Garde', 'Horror', 'Supernatural']"
811,Shakunetsu Kabaddi, 12,2023-10, compleated,Spring,TMS Entertainment,7.03,23.0,series,"['Comedy', 'School', 'Sports', 'Team Sports']"
812,Shokugeki no Souma: Shin no Sara, 12,2023-09, compleated,Fall,J.C.Staff,7.74,24.0,series,"['Ecchi', 'Gourmet', 'School', 'Shounen']"
813,Qualidea Code, 12,2023-09, compleated,Summer,A-1 Pictures,6.47,23.0,series,"['Action', 'Fantasy', 'Sci-Fi', 'Super Power']"
817,Isekai wa Smartphone to Tomo ni. 2, 12,2023-09, compleated,Spring,J.C.Staff,6.45,23.0,series,"['Adventure', 'Comedy', 'Fantasy', 'Harem', 'Isekai', 'Reincarnation', 'Romance']"
818,D_Cide Traumerei the Animation, 13,2023-10, compleated,Summer,SANZIGEN,5.82,23.0,series,"['Action', 'Drama', 'Fantasy']"
819,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e, 12,2023-09, compleated,Summer,Lerche,7.86,24.0,series,"['Drama', 'Psychological', 'School']"
820,Vazzrock The Animation, 13,2023-09, compleated,Fall,PRA,5.45,23.0,series,"['Idols (Male)', 'Music']"
821,Gintama': Enchousen, 13,2023-10, compleated,Fall,Sunrise,9.03,24.0,series,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
822,Summertime Render, 25,2023-10, compleated,Spring,OLM,8.50,23.0,series,"['Mystery', 'Shounen', 'Supernatural', 'Suspense', 'Time Travel']"
824,Saenai Heroine no Sodatekata, 12,2023-09, compleated,Winter,A-1 Pictures,7.48,23.0,series,"['Comedy', 'Ecchi', 'Harem', 'Otaku Culture', 'Romance', 'School']"
827,2.43: Seiin Koukou Danshi Volley-bu, 12,2023-09, compleated,Winter,David Production,6.14,23.0,series,"['School', 'Sports', 'Team Sports']"
830,3-gatsu no Lion 2nd Season, 22,2023-10, compleated,Fall,Shaft,8.93,25.0,series,"['Childcare', 'Drama', 'Iyashikei', 'Seinen', 'Strategy Game']"
832,Darwin's Game, 11,2023-09, compleated,Winter,Nexus,7.23,26.0,series,"['Action', 'High Stakes Game', 'Mystery', 'Sci-Fi', 'Shounen', 'Super Power', 'Survival', 'Suspense']"
833,Jouran: The Princess of Snow and Blood, 12,2023-09, compleated,Spring,Bakken Record,6.09,22.0,series,"['Action', 'Fantasy', 'Historical']"
836,Hibike! Euphonium, 13,2023-10, compleated,Spring,Kyoto Animation,8.00,23.0,series,"['Drama', 'Music', 'Performing Arts', 'School']"
837,Hyouka, 22,2023-10, compleated,Spring,Kyoto Animation,8.07,25.0,series,"['Mystery', 'School', 'Slice of Life']"
838,Working'!!, 13,2023-10, compleated,Fall,A-1 Pictures,7.82,24.0,series,"['Comedy', 'Romantic Subtext', 'Seinen', 'Workplace']"
839,Warau Arsnotoria Sun!, 12,2023-09, compleated,Summer,LIDENFILMS,5.82,23.0,series,"['Action', 'Fantasy']"
840,Soredemo Ayumu wa Yosetekuru, 12,2023-09, compleated,Summer,SILVER LINK.,7.04,24.0,series,"['Comedy', 'Romance', 'School', 'Shounen']"
841,Sugar Apple Fairy Tale Part 2, 12,2023-09, compleated,Summer,J.C.Staff,7.76,22.0,series,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Shoujo', 'Visual Arts']"
842,Akagami no Shirayuki-hime 2nd Season, 12,2023-09, compleated,Winter,Bones,7.97,24.0,series,"['Drama', 'Fantasy', 'Romance', 'Shoujo']"
843,Umayon, 12,2023-09, compleated,Summer,DMM.futureworks,6.31,3.0,series,"['Anthropomorphic', 'Comedy']"
844,Isekai Shokudou 2, 12,2023-09, compleated,Fall,OLM,7.67,23.0,series,"['Fantasy', 'Gourmet', 'Isekai', 'Slice of Life', 'Workplace']"
845,"Shachou, Battle no Jikan desu!", 12,2023-09, compleated,Spring,C2C,5.85,23.0,series,"['Action', 'Adventure', 'Fantasy']"
847,JoJo no Kimyou na Bouken Part 6: Stone Ocean,null,2023-10, compleated,unknown,David Production,8.16,24.0,series,"['Action', 'Adventure', 'Shounen', 'Supernatural']"
848,Kemono Jihen, 12,2023-09, compleated,Winter,Ajia-do,7.39,23.0,series,"['Action', 'Fantasy', 'Mystery', 'Mythology', 'Shounen']"
849,Yatogame-chan Kansatsu Nikki Sansatsume, 12,2023-09, compleated,Winter,Creators in Pack,6.38,3.0,series,"['Comedy', 'School', 'Shounen', 'Slice of Life']"
851,Made in Abyss: Retsujitsu no Ougonkyou, 12,2023-09, compleated,Summer,Kinema Citrus,8.65,25.0,series,"['Adventure', 'Drama', 'Fantasy', 'Gore', 'Mystery', 'Sci-Fi', 'Survival']"
853,Fugou Keiji: Balance:Unlimited, 11,2023-09, compleated,Spring,CloverWorks,7.53,23.0,series,"['Adult Cast', 'Detective', 'Mystery']"
855,Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara, 12,2023-09, compleated,Spring,ENGI,6.47,23.0,series,"['Action', 'Comedy', 'Fantasy', 'Video Game']"
856,Mononogatari 2nd Season, 12,2023-09, compleated,Summer,Bandai Namco Pictures,7.36,23.0,series,"['Action', 'Adult Cast', 'Fantasy', 'Mythology', 'Seinen']"
857,Dr. Stone: New World, 11,2023-09, compleated,Spring,TMS Entertainment,8.16,24.0,series,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Time Travel']"
858,Koi to Senkyo to Chocolate, 12,2023-09, compleated,Summer,AIC Build,6.99,24.0,series,"['Drama', 'Harem', 'Romance', 'School']"
860,Bleach – بليتش, 366,2023-09, compleated,Fall,Pierrot,7.93,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
862,Soukou Musume Senki, 12,2023-12, compleated,Winter,Studio A-CAT,5.78,23.0,series,"['Action', 'Fantasy', 'Military']"
863,Digimon Ghost Game, 67,2023-09, compleated,Fall,Toei Animation,6.75,23.0,series,"['Action', 'Adventure', 'Comedy', 'Fantasy']"
865,Noragami Aragoto, 13,2023-10, compleated,Fall,Bones,8.15,24.0,series,"['Action', 'Fantasy', 'Mythology', 'Shounen']"
866,Nanatsu no Taizai, 24,2023-10, compleated,Fall,A-1 Pictures,7.66,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
867,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2, 12,2023-09, compleated,Fall,Studio Bind,8.69,23.0,series,"['Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Isekai', 'Reincarnation']"
868,Bakuman., 25,2023-10, compleated,Fall,J.C.Staff,8.18,24.0,series,"['Comedy', 'Drama', 'Otaku Culture', 'Romance', 'Shounen']"
869,Campione! Matsurowanu Kamigami to Kamigoroshi no Maou, 13,2023-10, compleated,Summer,Diomedéa,6.93,24.0,series,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mythology', 'Romance']"
871,Devils Line, 12,2023-10, compleated,Spring,Platinum Vision,6.84,23.0,series,"['Action', 'Adult Cast', 'Drama', 'Romance', 'Seinen', 'Supernatural', 'Vampire']"
872,Mahoutsukai Reimeiki, 12,2023-09, compleated,Spring,Tezuka Productions,6.39,24.0,series,"['Action', 'Adventure', 'Anthropomorphic', 'Comedy', 'Fantasy']"
873,Kekkai Sensen, 12,2023-09, compleated,Spring,Bones,7.60,26.0,series,"['Action', 'Fantasy', 'Shounen', 'Super Power', 'Vampire']"
874,Deep Insanity: The Lost Child, 12,2023-12, compleated,Fall,SILVER LINK.,5.59,24.0,series,['Sci-Fi']
875,Fumetsu no Anata e Season 2, 20,2023-10, compleated,Fall,Drive,8.08,25.0,series,"['Adventure', 'Drama', 'Shounen', 'Supernatural']"
878,Jaku-Chara Tomozaki-kun, 12,2023-09, compleated,Winter,Project No.9,7.12,23.0,series,"['Drama', 'Romance', 'School']"
880,Princess Lover!, 12,2023-09, compleated,Summer,GoHands,6.69,23.0,series,"['Comedy', 'Ecchi', 'Harem', 'School']"
881,Revenger, 12,2023-09, compleated,Winter,Ajia-do,6.68,23.0,series,"['Action', 'Adult Cast', 'Drama', 'Historical', 'Mystery', 'Organized Crime', 'Samurai']"
882,Ano Natsu de Matteru, 12,2023-09, compleated,Winter,J.C.Staff,7.41,23.0,series,"['Drama', 'Love Polygon', 'Romance', 'Sci-Fi']"
886,Shuumatsu no Walküre II,null,2023-12, compleated,unknown,Graphinica,7.51,24.0,series,"['Action', 'Drama', 'Fantasy', 'Gore', 'Mythology', 'Seinen', 'Survival']"
887,Nisemonogatari, 11,2023-09, compleated,Winter,Shaft,8.14,25.0,series,"['Comedy', 'Ecchi', 'Mystery', 'Supernatural']"
888,Ishura 2nd Season, 12,2025-04, ongoing,Winter,Passione,7.21,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Gore', 'Isekai']"
892,Kamisama Hajimemashita, 13,2023-10, compleated,Fall,TMS Entertainment,8.10,24.0,series,"['Comedy', 'Fantasy', 'Mythology', 'Romance', 'Shoujo']"
893,Koi wa Sekai Seifuku no Ato de, 12,2023-09, compleated,Spring,Project No.9,7.43,23.0,series,"['Action', 'Comedy', 'Parody', 'Romance', 'Shounen']"
895,Death Note, 37,2023-10, compleated,Fall,Madhouse,8.62,23.0,series,"['Detective', 'Psychological', 'Shounen', 'Supernatural', 'Suspense']"
896,Nanatsu no Maken ga Shihai suru, 15,2023-10, compleated,Summer,J.C.Staff,6.74,23.0,series,"['Action', 'Fantasy', 'School']"
897,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken, 10,2023-09, compleated,Fall,Diomedéa,6.23,23.0,series,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']"
898,Yuusha ga Shinda!, 12,2023-09, compleated,Spring,LIDENFILMS,6.65,23.0,series,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Parody']"
899,Dorohedoro, 12,2023-09, compleated,Winter,MAPPA,8.05,23.0,series,"['Action', 'Comedy', 'Fantasy', 'Gore', 'Horror', 'Seinen']"
901,Bakemonogatari, 15,2023-10, compleated,Summer,Shaft,8.33,25.0,series,"['Mystery', 'Romance', 'Supernatural', 'Vampire']"
902,Little Busters! Refrain, 13,2023-10, compleated,Fall,J.C.Staff,8.18,24.0,series,"['Comedy', 'Drama', 'Romance', 'School', 'Supernatural']"
903,Tesla Note, 13,2023-10, compleated,Fall,Gambit,4.68,24.0,series,"['Action', 'Shounen', 'Suspense']"
906,The Legend of Heroes: Sen no Kiseki – Northern War, 12,2023-09, compleated,Winter,Tatsunoko Production,5.67,23.0,series,"['Action', 'Fantasy', 'Military']"
907,Katsugeki/Touken Ranbu, 13,2023-10, compleated,Summer,ufotable,6.73,23.0,series,"['Action', 'Fantasy', 'Historical', 'Samurai']"
908,Kaminaki Sekai no Kamisama Katsudou, 12,2023-09, compleated,Spring,Studio Palette,6.77,23.0,series,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Parody', 'Reincarnation', 'Seinen']"
909,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III, 12,2023-09, compleated,Fall,J.C.Staff,7.46,24.0,series,"['Action', 'Adventure', 'Fantasy']"
910,Munou na Nana, 13,2023-10, compleated,Fall,Bridge,7.18,23.0,series,"['Psychological', 'Shounen', 'Super Power', 'Supernatural', 'Suspense']"
911,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari, 12,2023-09, compleated,Winter,LIDENFILMS,6.33,24.0,series,"['Adventure', 'Fantasy']"
912,Gamers!, 12,2023-09, compleated,Summer,PINE JAM,6.76,24.0,series,"['Comedy', 'Otaku Culture', 'Romance', 'School', 'Video Game']"
914,Boku no Hero Academia 6th Season, 25,2023-09, compleated,Fall,Bones,8.34,23.0,series,"['Action', 'School', 'Shounen', 'Super Power']"
916,Haikyuu!!, 25,2023-10, compleated,Spring,Production I.G,8.44,24.0,series,"['School', 'Shounen', 'Sports', 'Team Sports']"
918,Shokugeki no Souma, 24,2023-10, compleated,Spring,J.C.Staff,8.15,25.0,series,"['Ecchi', 'Gourmet', 'School', 'Shounen']"
919,Black Clover, 170,2023-10, compleated,Fall,Pierrot,8.15,23.0,series,"['Action', 'Comedy', 'Fantasy', 'Shounen']"
920,Nami yo Kiitekure, 12,2023-09, compleated,Spring,Sunrise,7.35,24.0,series,"['Adult Cast', 'Comedy', 'Drama', 'Seinen', 'Showbiz']"
921,Golden Kamuy 2nd Season, 12,2023-09, compleated,Fall,Geno Studio,8.24,23.0,series,"['Action', 'Adult Cast', 'Adventure', 'Historical', 'Military', 'Seinen']"
922,Kijin Gentoushou,null,, ongoing,unknown,Yokohama Animation Laboratory,7.50,,series,"['Action', 'Adventure', 'Fantasy', 'Historical']"
924,Shiroi Suna no Aquatope, 24,2023-10, compleated,Summer,P.A. Works,7.51,23.0,series,"['Drama', 'Workplace']"
925,Kujira no Kora wa Sajou ni Utau, 12,2023-09, compleated,Fall,J.C.Staff,7.17,23.0,series,"['Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Shoujo']"
927,One Piece Movie 02: Nejimaki-jima no Daibouken,null,2024-08, compleated,unknown,Toei Animation,7.09,,movie,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
930,Sword Art Online II, 24,2023-10, compleated,Summer,A-1 Pictures,6.71,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Love Polygon', 'Romance', 'Video Game']"
931,Monsters: Ippyaku Sanjou Hiryuu Jigoku,null,2024-02, ongoing,unknown,E&H Production,7.75,,movie,"['Fantasy', 'Shounen']"
933,Boku no Hero Academia, 13,2023-10, compleated,Spring,Bones,7.88,24.0,series,"['Action', 'School', 'Shounen', 'Super Power']"
934,Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season, 12,2023-09, compleated,Summer,Studio Deen,6.90,23.0,series,"['Mystery', 'Mythology', 'Shounen', 'Supernatural']"
935,Udon no Kuni no Kiniro Kemari, 12,2023-09, compleated,Fall,LIDENFILMS,7.75,22.0,series,"['Anthropomorphic', 'Childcare', 'Iyashikei', 'Seinen', 'Slice of Life', 'Supernatural']"
936,Terra Formars, 13,2023-10, compleated,Fall,LIDENFILMS,7.00,24.0,series,"['Action', 'Gore', 'Horror', 'Sci-Fi', 'Seinen', 'Space', 'Survival']"
937,Vanitas no Karte Part 2, 12,2023-09, compleated,Winter,Bones,8.20,23.0,series,"['Action', 'Fantasy', 'Historical', 'Mystery', 'Shounen', 'Vampire']"
938,Fuuto Tantei, 12,2023-09, compleated,Summer,Studio Kai,7.32,25.0,series,"['Action', 'Detective', 'Mystery', 'Seinen', 'Supernatural']"
941,Fairy Tail: Final Series, 51,2023-10, compleated,Fall,A-1 Pictures,7.58,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
942,Rokka no Yuusha, 12,2023-09, compleated,Summer,Passione,7.27,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Mystery']"
943,Beastars 2nd Season, 12,2023-09, compleated,Winter,Orange,7.80,22.0,series,"['Anthropomorphic', 'Drama', 'Psychological', 'School', 'Shounen']"
944,Mushoku Tensei II: Isekai Ittara Honki Dasu, 12,2023-09, compleated,Summer,Studio Bind,8.51,23.0,series,"['Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Isekai', 'Reincarnation']"
945,Black Bullet, 13,2023-10, compleated,Spring,Kinema Citrus,7.09,24.0,series,"['Action', 'Mystery', 'Sci-Fi']"
946,Psycho-Pass 2, 11,2023-09, compleated,Fall,Tatsunoko Production,7.40,23.0,series,"['Action', 'Adult Cast', 'Detective', 'Psychological', 'Sci-Fi', 'Suspense']"
947,Akiba Meido Sensou, 12,2023-09, compleated,Fall,P.A. Works,7.62,23.0,series,"['Action', 'Comedy', 'Organized Crime']"
948,Boku wa Tomodachi ga Sukunai, 12,2023-09, compleated,Fall,AIC Build,7.16,24.0,series,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']"
949,Dolls' Frontline, 12,2023-09, compleated,Winter,Asahi Production,5.88,24.0,series,"['Action', 'Drama', 'Military', 'Sci-Fi']"
950,Dumbbell Nan Kilo Moteru?, 12,2023-09, compleated,Summer,Doga Kobo,7.25,24.0,series,"['CGDCT', 'Comedy', 'Ecchi']"
951,One Piece Film: Strong World,null,2024-08, compleated,unknown,Toei Animation,8.06,,movie,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
952,Kono Subarashii Sekai ni Shukufuku wo! 2, 10,2023-09, compleated,Winter,Studio Deen,8.26,23.0,series,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody', 'Reincarnation']"
953,Osananajimi ga Zettai ni Makenai Love Comedy, 12,2023-09, compleated,Spring,Doga Kobo,6.07,23.0,series,"['Comedy', 'Harem', 'Romance', 'School']"
955,Tomodachi Game, 12,2023-09, compleated,Spring,Okuruto Noboru,7.72,22.0,series,"['High Stakes Game', 'Psychological', 'Shounen', 'Strategy Game', 'Suspense']"
957,Yuukoku no Moriarty Part 2, 13,2023-10, compleated,Spring,Production I.G,8.28,23.0,series,"['Adult Cast', 'Historical', 'Mystery', 'Organized Crime', 'Psychological', 'Shounen', 'Suspense']"
959,3-gatsu no Lion, 22,2023-10, compleated,Fall,Shaft,8.38,25.0,series,"['Childcare', 'Drama', 'Iyashikei', 'Seinen', 'Strategy Game']"
960,Shiki, 22,2023-10, compleated,Summer,Daume,7.73,22.0,series,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Shounen', 'Supernatural', 'Vampire']"
962,Overlord III, 13,2023-10, compleated,Summer,Madhouse,7.92,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Isekai']"
963,Dead Mount Death Play, 12,2023-09, compleated,Spring,Geek Toys,7.30,23.0,series,"['Action', 'Fantasy', 'Reincarnation', 'Seinen', 'Supernatural']"
964,Re:Creators, 22,2023-10, compleated,Spring,TROYCA,7.55,24.0,series,"['Action', 'Fantasy', 'Isekai', 'Mecha', 'Sci-Fi']"
965,Yami Shibai 10, 13,2023-10, compleated,Winter,ILCA,6.18,4.0,series,"['Avant Garde', 'Horror', 'Supernatural']"
966,Ookami-san to Shichinin no Nakama-tachi, 12,2023-09, compleated,Summer,J.C.Staff,7.17,24.0,series,"['Comedy', 'Parody', 'Romance']"
968,Somali to Mori no Kamisama, 12,2023-09, compleated,Winter,HORNETS,7.82,23.0,series,"['Adventure', 'Childcare', 'Drama', 'Fantasy']"
969,One Piece: Episode of Merry – Mou Hitori no Nakama no Monogatari,null,2024-08, compleated,unknown,Toei Animation,8.19,,movie,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
971,Akudama Drive, 12,2023-09, compleated,Fall,Pierrot,7.59,24.0,series,"['Action', 'Adult Cast', 'Gore', 'Sci-Fi']"
972,Shinmai Maou no Testament, 12,2023-09, compleated,Winter,Production IMS,6.71,23.0,series,"['Action', 'Ecchi', 'Fantasy', 'Harem', 'Mythology', 'Romance']"
974,Otome Game Sekai wa Mob ni Kibishii Sekai desu, 12,2023-09, compleated,Spring,ENGI,7.34,23.0,series,"['Action', 'Fantasy', 'Harem', 'Isekai', 'Mecha', 'Reincarnation', 'Romance', 'School']"
975,Boku no Hero Academia 4th Season, 25,2023-10, compleated,Fall,Bones,7.90,24.0,series,"['Action', 'School', 'Shounen', 'Super Power']"
977,Metallic Rouge,null,, compleated,Winter,Bones,7.30,,series,"['Action', 'Sci-Fi']"
978,Monster Musume no Oishasan, 12,2023-09, compleated,Summer,Arvo Animation,6.52,24.0,series,"['Anthropomorphic', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Medical', 'Romance']"
980,Araburu Kisetsu no Otome-domo yo., 12,2023-09, compleated,Summer,Lay-duce,7.33,24.0,series,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen']"
981,Kami-tachi ni Hirowareta Otoko 2nd Season, 12,2023-09, compleated,Winter,Maho Film,6.78,23.0,series,"['Fantasy', 'Isekai', 'Reincarnation', 'Slice of Life']"
982,Hoshi no Samidare, 24,2023-09, compleated,Summer,NAZ,5.64,24.0,series,"['Action', 'Adventure', 'Comedy', 'Drama', 'Psychological', 'Seinen']"
983,Blue Reflection Ray, 24,2023-10, compleated,Spring,J.C.Staff,5.82,24.0,series,"['Fantasy', 'Mahou Shoujo', 'School']"
984,Dr. Stone, 24,2023-10, compleated,Summer,TMS Entertainment,8.28,24.0,series,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Survival', 'Time Travel']"
985,Hige wo Soru. Soshite Joshikousei wo Hirou., 13,2023-10, compleated,Spring,Project No.9,7.28,23.0,series,"['Drama', 'Romance']"
986,91 Days, 12,2023-09, compleated,Summer,Shuka,7.83,24.0,series,"['Action', 'Drama', 'Historical', 'Organized Crime']"
988,Bakuten!!, 12,2023-09, compleated,Spring,Zexcs,7.52,22.0,series,"['Performing Arts', 'Sports']"
989,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai, 39,2023-10, compleated,Spring,David Production,8.50,23.0,series,"['Action', 'Adventure', 'Shounen', 'Supernatural']"
990,Himitsukessha Taka no Tsume: Golden Spell, 12,2023-09, compleated,Fall,DLE,6.15,15.0,series,"['Comedy', 'Parody', 'Super Power']"
992,Boku no Hero Academia 5th Season, 25,2023-10, compleated,Spring,Bones,7.38,23.0,series,"['Action', 'School', 'Shounen', 'Super Power']"
